Nummer|Datum|Ort|Name_voll|GND|Wiki|Journalnummer|Aufbewahrungsort|Aufbewahrungsinstitution|Jahr|VON/AN|person_id|name_gnd|gender_gnd|birth_gnd|occupations_gnd|publications_gnd|degrees_gnd|coordinates_wiki|text|url|place_id|date|letter_text|status_letter_text
2102|07.12.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1825|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1825-12-07||
2103|15.12.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1825|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1825-12-15||
2104|21.12.|Stein|Melchior Kirchhofer|118842528|https://de.wikipedia.org/wiki/Melchior_Kirchhofer||Freiburg i.Br.|Universitätsbibliothek|1825|AN|lassberg-correspondent-0307|Kirchhofer, Melchior|male|1775|Pfarrer,Evangelischer Theologe,Kirchenhistoriker|8|-|-|||lassberg-place-0144|1825-12-21||
2105|23.12.|Göttingen|Georg Friedrich Benecke|11865537X|https://de.wikipedia.org/wiki/Georg_Friedrich_Benecke||Münster|Universitätsbibliothek|1825|AN|lassberg-correspondent-0134|Benecke, Georg Friedrich|male|1762|Bibliothekar,Philologe,Germanist|8|Prof.|51.53388889,9.93555556|Franz Pfeiffer, Zur Geschichte der deutschen Philologie. Briefe an Joseph Freiherrn von Laßberg. Postum hg. von Joseph Maria Wagner. In: Germania 13 (1868), S. 118-27, 244-49, 365-84 und 487-508, S. 125|https://upload.wikimedia.org/wikipedia/commons/a/a8/Germania_13_1868.pdf|lassberg-place-0053|1825-12-23||
2106|28.12.|Stein|Melchior Kirchhofer|118842528|https://de.wikipedia.org/wiki/Melchior_Kirchhofer||Freiburg i.Br.|Universitätsbibliothek|1825|AN|lassberg-correspondent-0307|Kirchhofer, Melchior|male|1775|Pfarrer,Evangelischer Theologe,Kirchenhistoriker|8|-|-|||lassberg-place-0144|1825-12-28||
2107|25.01.|Stuttgart|Ludwig Uhland|118625063|https://de.wikipedia.org/wiki/Ludwig_Uhland||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0288|Uhland, Ludwig|male|1787|Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller|8|Dr.|48.7775,9.18|Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 66|https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1|lassberg-place-0147|1826-01-25||
2108|02.02.|Bern|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss||Bern|Burgerbibliothek|1826|AN|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|46.94805556,7.4475|||lassberg-place-0020|1826-02-02||
2109|17.02.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-02-17||
2110|19.02.|Stein|Melchior Kirchhofer|118842528|https://de.wikipedia.org/wiki/Melchior_Kirchhofer||Freiburg i.Br.|Universitätsbibliothek|1826|AN|lassberg-correspondent-0307|Kirchhofer, Melchior|male|1775|Pfarrer,Evangelischer Theologe,Kirchenhistoriker|8|-|-|||lassberg-place-0144|1826-02-19||
2111|22.02.|Trogen (Appenzell Ausserrhoden)|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger||Winterthur|Stadtbibliothek|1826|AN|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|-|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 82|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0150|1826-02-22||
2112|24.02.|Ravensburg|Friedrich Gutermann|1157868525|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1826|AN|lassberg-correspondent-0117|Gutermann, Friedrich|notKnown|-|-|1|-|47.78305556,9.61138889|||lassberg-place-0123|1826-02-24||
2113|03.03.|Tübingen|Karl Philipp Conz|116668237|https://de.wikipedia.org/wiki/Karl_Philipp_Conz||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0264|Conz, Karl Philipp|male|1762|Schriftsteller,Klassischer Philologe,Übersetzer|9|-|48.52,9.05555556|||lassberg-place-0148|1826-03-03||
2114|08.03.|Winterthur|Ulrich Hegner|116572167|https://de.wikipedia.org/wiki/Ulrich_Hegner||Winterthur|Stadtbibliothek|1826|AN|lassberg-correspondent-0353|Hegner, Ulrich|male|1759|Politiker,Arzt,Schriftsteller|10|-|47.49888889,8.72861111|||lassberg-place-0163|1826-03-08||
2115|09.03.|Winterthur|Ulrich Hegner|116572167|https://de.wikipedia.org/wiki/Ulrich_Hegner||Winterthur|Stadtbibliothek|1826|AN|lassberg-correspondent-0353|Hegner, Ulrich|male|1759|Politiker,Arzt,Schriftsteller|10|-|47.49888889,8.72861111|||lassberg-place-0163|1826-03-09||
2116|11.03.|Bischofszell|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Frauenfeld|Thurgauische Kantonsbibliothek|1826|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|47.5,9.23333333|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 16 (1888), S.  1-32 und 97-154, S. 1|https://books.google.de/books?id=XWY5AAAAMAAJ|lassberg-place-0025|1826-03-11||
2117|16.03.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-03-16||
2118|17.03.|Stuttgart|Johann Sulpiz Melchior Dominikus Boisserée|11851301X|https://de.wikipedia.org/wiki/Sulpiz_Boisser%C3%A9e||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1826|AN|lassberg-correspondent-0216|Boisserée, Sulpiz|male|1783|Kunsthistoriker,Kunstsammler,Mäzen|6|-|48.7775,9.18|||lassberg-place-0147|1826-03-17||
2119|19.03.|Kassel|Jacob Grimm|118542257|https://de.wikipedia.org/wiki/Jacob_Grimm||Krakau|Jagiellonische Bibliothek|1826|AN|lassberg-correspondent-0170|Grimm, Jacob|male|1785|Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer|6|Prof.|51.3158,9.4979|Franz Pfeiffer, Zur Geschichte der deutschen Philologie. Briefe an Joseph Freiherrn von Laßberg. Postum hg. von Joseph Maria Wagner. In: Germania 13 (1868), S. 118-27, 244-49, 365-84 und 487-508, S. 247|https://upload.wikimedia.org/wikipedia/commons/a/a8/Germania_13_1868.pdf|lassberg-place-0075|1826-03-19||
2120|07.04.|Berlin|Karl Lachmann|118568558|https://de.wikipedia.org/wiki/Karl_Lachmann||Freiburg i.Br.|Universitätsbibliothek|1826|AN|lassberg-correspondent-0260|Lachmann, Karl|male|1793|Hochschullehrer,Gymnasiallehrer,Klassischer Philologe,Germanist|11|Prof.|52.52,13.405|Franz Pfeiffer, Zur Geschichte der deutschen Philologie. Briefe an Joseph Freiherrn von Laßberg. Postum hg. von Joseph Maria Wagner. In: Germania 13 (1868), S. 118-27, 244-49, 365-84 und 487-508, S. 49|https://upload.wikimedia.org/wikipedia/commons/a/a8/Germania_13_1868.pdf|lassberg-place-0022|1826-04-07||
2121|14.04.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-04-14||
2122|16.04.|Bückeburg|Caroline Luise von Schaumburg-Lippe|117112887|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1826|AN|lassberg-correspondent-0061|Schaumburg-Lippe, Caroline Luise von|female|1786|-|-|-|52.26083333,9.04916667|||lassberg-place-0014|1826-04-16||
2123|19.05.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-05-19||
2124|31.05.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-05-31||
2125|04.06.|Berlin|Karl Lachmann|118568558|https://de.wikipedia.org/wiki/Karl_Lachmann||Freiburg i.Br.|Universitätsbibliothek|1826|AN|lassberg-correspondent-0260|Lachmann, Karl|male|1793|Hochschullehrer,Gymnasiallehrer,Klassischer Philologe,Germanist|11|Prof.|52.52,13.405|Franz Pfeiffer, Zur Geschichte der deutschen Philologie. Briefe an Joseph Freiherrn von Laßberg. Postum hg. von Joseph Maria Wagner. In: Germania 13 (1868), S. 118-27, 244-49, 365-84 und 487-508, S. 491|https://upload.wikimedia.org/wikipedia/commons/a/a8/Germania_13_1868.pdf|lassberg-place-0022|1826-06-04||
2126|11.06.|Unbekannt|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|-|||lassberg-place-0152|1826-06-11||
2127|22.06.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-06-22||
2128|12.07.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-07-12||
2129|12.07.|Stuttgart|Ludwig Uhland|118625063|https://de.wikipedia.org/wiki/Ludwig_Uhland||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0288|Uhland, Ludwig|male|1787|Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller|8|Dr.|48.7775,9.18|Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 72|https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1|lassberg-place-0147|1826-07-12||
2130|04.08.|Winterthur|Ulrich Hegner|116572167|https://de.wikipedia.org/wiki/Ulrich_Hegner||Winterthur|Stadtbibliothek|1826|AN|lassberg-correspondent-0353|Hegner, Ulrich|male|1759|Politiker,Arzt,Schriftsteller|10|-|47.49888889,8.72861111|||lassberg-place-0163|1826-08-04||
2131|13.09.|Aarau|Johann Heinrich Tanner|1060060795|https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner||Aarau|Staatsarchiv|1826|AN|lassberg-correspondent-0201|Tanner, Johann Heinrich|male|1799|Textilhandel,Politiker|-|-|47.4,8.05|Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von Laßberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 109/t|https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60|lassberg-place-0001|1826-09-13||
2132|14.09.|Bern|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss||Bern|Burgerbibliothek|1826|AN|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|46.94805556,7.4475|||lassberg-place-0020|1826-09-14||
2133|15.09.|Freiburg i. Brsg|Johann Heinrich Nepomuk Schreiber|118610694|https://de.wikipedia.org/wiki/Heinrich_Schreiber_(Historiker)||Freiburg i.Br.|Universitätsbibliothek|1826|AN|lassberg-correspondent-0200|Schreiber, Heinrich|male|1793|Dozent,Hochschullehrer,Historiker,Schriftsteller,Bibliothekar,Publizist,Theologe|5|Prof. Dr. phil. Dr. theol. h.c.|-|||lassberg-place-0050|1826-09-15||
2134|22.09.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-09-22||
2135|07.10.|Freiburg i. Brsg|Johann Heinrich Nepomuk Schreiber|118610694|https://de.wikipedia.org/wiki/Heinrich_Schreiber_(Historiker)||Freiburg i.Br.|Universitätsbibliothek|1826|AN|lassberg-correspondent-0200|Schreiber, Heinrich|male|1793|Dozent,Hochschullehrer,Historiker,Schriftsteller,Bibliothekar,Publizist,Theologe|5|Prof. Dr. phil. Dr. theol. h.c.|-|||lassberg-place-0050|1826-10-07||
2136|20.10.|Mühlheim|Nikolaus Leopold Enzberg|-|-||Karlsruhe|Badische Landesbibliothek|1826|AN|lassberg-correspondent-0315|-|-|-|-|-|-|-|||lassberg-place-0096|1826-10-20||
2137|03.11.|Arenenberg|Philippe-François-Joseph Le Bas|130589365|https://de.wikipedia.org/wiki/Philippe-Fran%C3%A7ois-Joseph_Le_Bas||Bern|Burgerbibliothek|1826|AN|lassberg-correspondent-0324|Le Bas, Philippe François Joseph|notKnown|1762|Politiker|1|-|47.67277778,9.05916667|||lassberg-place-0009|1826-11-03||
2138|04.11.|Aarau|Johann Heinrich Tanner|1060060795|https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner||Aarau|Staatsarchiv|1826|AN|lassberg-correspondent-0201|Tanner, Johann Heinrich|male|1799|Textilhandel,Politiker|-|-|47.4,8.05|Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von Laßberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 144/R|https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60|lassberg-place-0001|1826-11-04||
2139|12.11.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1826|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1826-11-12||
2140|19.11.|Aarau|Johann Heinrich Tanner|1060060795|https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner||Aarau|Staatsarchiv|1826|AN|lassberg-correspondent-0201|Tanner, Johann Heinrich|male|1799|Textilhandel,Politiker|-|-|47.4,8.05|Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von Laßberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 144/R|https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60|lassberg-place-0001|1826-11-19||
2141|25.11.|Freiburg i. Brsg|Johann Heinrich Nepomuk Schreiber|118610694|https://de.wikipedia.org/wiki/Heinrich_Schreiber_(Historiker)||Freiburg i.Br.|Universitätsbibliothek|1826|AN|lassberg-correspondent-0200|Schreiber, Heinrich|male|1793|Dozent,Hochschullehrer,Historiker,Schriftsteller,Bibliothekar,Publizist,Theologe|5|Prof. Dr. phil. Dr. theol. h.c.|-|||lassberg-place-0050|1826-11-25||
2142|10.12.|Freiburg i. Brsg|Gesellschaft für Beförderung der Geschichtskunde zu Freiburg im Breisgau|64187-X|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1826|AN|lassberg-correspondent-0141|Gesellschaft für Beförderung der Geschichtskunde|CorporateBody|-|-|-|-|-|||lassberg-place-0050|1826-12-10||
2143|12.12.|Bischofszell|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Frauenfeld|Thurgauische Kantonsbibliothek|1826|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|47.5,9.23333333|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 15 (1887), S. 231-88, S. 2|https://books.google.de/books?id=dXkKAAAAIAAJ|lassberg-place-0025|1826-12-12||
2144|23.12.|Bischofszell|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Karlsruhe|Badische Landesbibliothek|1826|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|47.5,9.23333333|||lassberg-place-0025|1826-12-23||
2145|30.12.|Trogen (Appenzell Ausserrhoden)|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger||Winterthur|Stadtbibliothek|1826|AN|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|-|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 84|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0150|1826-12-30||
2146|-|Unbekannt|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Frauenfeld|Thurgauische Kantonsbibliothek|1827|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|-|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 16 (1888), S.  1-32 und 97-154, S. 3|https://books.google.de/books?id=XWY5AAAAMAAJ|lassberg-place-0152|||
2147|08.01.|Bischofszell|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Frauenfeld|Thurgauische Kantonsbibliothek|1827|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|47.5,9.23333333|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 16 (1888), S.  1-32 und 97-154, S. 4|https://books.google.de/books?id=XWY5AAAAMAAJ|lassberg-place-0025|1827-01-08||
2148|12.01.|Bern|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss||Bern|Burgerbibliothek|1827|AN|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|46.94805556,7.4475|||lassberg-place-0020|1827-01-12||
2149|19.01.|Stuttgart|Ludwig Uhland|118625063|https://de.wikipedia.org/wiki/Ludwig_Uhland||Marbach am Neckar|Schiller Nationalmuseum|1827|AN|lassberg-correspondent-0288|Uhland, Ludwig|male|1787|Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller|8|Dr.|48.7775,9.18|Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 8|https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1|lassberg-place-0147|1827-01-19||
2150|03.02.|Bischofszell|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1827|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|47.5,9.23333333|Karl Siegfried Bader (Hg.), Joseph von Lassberg. Mittler und Sammler. Aufsätze zu seinem 100. Todestag. Stuttgart 1955, S. 22|-|lassberg-place-0025|1827-02-03||
2151|07.02.|Kassel|Jacob Grimm|118542257|https://de.wikipedia.org/wiki/Jacob_Grimm||Krakau|Jagiellonische Bibliothek|1827|AN|lassberg-correspondent-0170|Grimm, Jacob|male|1785|Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer|6|Prof.|51.3158,9.4979|Franz Pfeiffer, Zur Geschichte der deutschen Philologie. Briefe an Joseph Freiherrn von Laßberg. Postum hg. von Joseph Maria Wagner. In: Germania 13 (1868), S. 118-27, 244-49, 365-84 und 487-508, S. 248|https://upload.wikimedia.org/wikipedia/commons/a/a8/Germania_13_1868.pdf|lassberg-place-0075|1827-02-07||
2152|16.02.|Stuttgart|Gustav Schwab|118762745|https://de.wikipedia.org/wiki/Gustav_Schwab||Marbach am Neckar|Schiller Nationalmuseum|1827|AN|lassberg-correspondent-0145|Schwab, Gustav|male|1792|Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker|8|Prof. Dr. theol. h.c.|48.7775,9.18|||lassberg-place-0147|1827-02-16||
2153|23.02.|Bischofszell|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Frauenfeld|Thurgauische Kantonsbibliothek|1827|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|47.5,9.23333333|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 16 (1888), S.  1-32 und 97-154, S. 4|https://books.google.de/books?id=XWY5AAAAMAAJ|lassberg-place-0025|1827-02-23||
2154|27.02.|Aarau|Johann Heinrich Tanner|1060060795|https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner||Aarau|Staatsarchiv|1827|AN|lassberg-correspondent-0201|Tanner, Johann Heinrich|male|1799|Textilhandel,Politiker|-|-|47.4,8.05|Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von Laßberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 144/R|https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60|lassberg-place-0001|1827-02-27||
2155|28.02.|Stein|Melchior Kirchhofer|118842528|https://de.wikipedia.org/wiki/Melchior_Kirchhofer||Freiburg i.Br.|Universitätsbibliothek|1827|AN|lassberg-correspondent-0307|Kirchhofer, Melchior|male|1775|Pfarrer,Evangelischer Theologe,Kirchenhistoriker|8|-|-|||lassberg-place-0144|1827-02-28||
2156|01.03.|Bischofszell|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Frauenfeld|Thurgauische Kantonsbibliothek|1827|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|47.5,9.23333333|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 16 (1888), S.  1-32 und 97-154, S. 5|https://books.google.de/books?id=XWY5AAAAMAAJ|lassberg-place-0025|1827-03-01||
2157|02.03.|Berlin|Karl Hartwig Gregor von Meusebach|118733230|https://de.wikipedia.org/wiki/Karl_Hartwig_Gregor_von_Meusebach||Berlin|Staatsbibliothek Preussischer Kulturbesitz|1827|AN|lassberg-correspondent-0256|Meusebach, Karl Hartwig Gregor von|male|1781|Literarhistoriker,Germanist,Bibliophiler,Jurist|3|-|52.52,13.405|||lassberg-place-0022|1827-03-02||
2158|05.03.|Unbekannt|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Frauenfeld|Thurgauische Kantonsbibliothek|1827|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|-|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 16 (1888), S.  1-32 und 97-154, S. 7|https://books.google.de/books?id=XWY5AAAAMAAJ|lassberg-place-0152|1827-03-05||
2159|10.03.|Karlsruhe|Heinrich von Hennenhofer|116711353|https://de.wikipedia.org/wiki/Johann_Heinrich_David_von_Hennenhofer||Karlsruhe|Badische Landesbibliothek|1827|AN|lassberg-correspondent-0153|Hennenhofer, Heinrich von|male|1793|Diplomat,Major|-|-|49.0092097,8.4039514|||lassberg-place-0074|1827-03-10||
2160|13.03.|Unbekannt|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer||Frauenfeld|Thurgauische Kantonsbibliothek|1827|AN|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|-|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 16 (1888), S.  1-32 und 97-154, S. 8|https://books.google.de/books?id=XWY5AAAAMAAJ|lassberg-place-0152|1827-03-13||
2161|14.03.|Trogen (Appenzell Ausserrhoden)|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger||Winterthur|Stadtbibliothek|1827|AN|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|-|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 88|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0150|1827-03-14||
